service_area,ldca_name,sdca_name,sdca_code,,Landline Numbering
AP,VIZAYANAGARAM,SRUNGAVARAPUKOTA (KOTHVLS),8966,,1- Special Numbers
AP,VIZAYANAGARAM,GAJAPATHINAGARAM,8965,,2- BSNL(All India Except Delhi & Mumbai) and MTNL(Delhi & Mumbai)
AP,VIZAYANAGARAM,SALURU,8964,,3- Reliance (All India)
AP,VIZAYANAGARAM,PARVATHIPURAM,8963,,4- Airtel (All India)
AP,VIZAYANAGARAM,CHEPURUPALLI (GARIVIDI),8952,,5- HFCL (Punjab) and MTS (Rajasthan)
AP,SRIKAKULAM,SOMPETA,8947,,6- Tata Indicom (All India)
AP,SRIKAKULAM,PATHAPATNAM (HIRAMANDALAM),8946,,71- Vodafone (All India)
AP,SRIKAKULAM,TEKKALI (PALASA),8945,,"791,792- Videocon (All India)"
AP,VIZAYANAGARAM,BOBBILI,8944,,793- MTS (All India)
AP,SRIKAKULAM,SRIKAKULAM,8942,,794- Aircel (All India)
AP,SRIKAKULAM,PALAKONDA (RAJAM),8941,,
AP,VISAKHAPATNAM,SILERU,8938,,
AP,VISAKHAPATNAM,CHINTAPALLE,8937,,
AP,VISAKHAPATNAM,ARAKU,8936,,
AP,VISAKHAPATNAM,PADERU,8935,,
AP,VISAKHAPATNAM,CHODAVARAM,8934,,
AP,VISAKHAPATNAM,BHEEMUNIPATNAM,8933,,
AP,VISAKHAPATNAM,NARSIPATNAM,8932,,
AP,VISAKHAPATNAM,YELAMANCHILI,8931,,
AP,VISAKHAPATNAM,ANAKAPALLE,8924,,
AP,VIZAYANAGARAM,VIZAYANAGARAM,8922,,
AP,RAJAHMUNDRI,PITHAPURAM,8869,,
AP,RAJAHMUNDRI,YELESWARAM,8868,,
AP,RAJAHMUNDRI,YELAVARAM,8865,,
AP,RAJAHMUNDRI,RAMPACHODAVARAM,8864,,
AP,RAJAHMUNDRI,CHAVITIDIBBALU,8863,,
AP,RAJAHMUNDRI,RAZOLE,8862,,
AP,RAJAHMUNDRI,RAMACHANDRAPURAM,8857,,
AP,RAJAHMUNDRI,AMALAPURAM,8856,,
AP,RAJAHMUNDRI,MANDAPETA (RAVULAPALEM),8855,,
AP,RAJAHMUNDRI,TUNI,8854,,
AP,RAJAHMUNDRI,PEDDAPURAM,8852,,
AP,ELURU,BHIMADOLE,8829,,
AP,ELURU,CHINTALAPUDI,8823,,
AP,ELURU,JANGAREDDYGUDEM,8821,,
AP,ELURU,TANUKU,8819,,
AP,ELURU,TADEPALLIGUDEM,8818,,
AP,ELURU,BHIMAVARAM,8816,,
AP,ELURU,NARSAPUR (PALAKOLE),8814,,
AP,ELURU,KOVVUR (NIDADAVOLU),8813,,
AP,ELURU,ELURU,8812,,
AP,ELURU,POLAVARAM,8811,,
AP,KHAMMAM,SATHUPALLI,8761,,
AP,ADILABAD,OUTSARANGAPALLE,8753,,
AP,ADILABAD,BHAINSA,8752,,
AP,ADILABAD,BOATH (ECHODA),8751,,
AP,KHAMMAM,MADHIRA,8749,,
AP,KHAMMAM,V.R.PURAM,8748,,
AP,KHAMMAM,NUGURU (CHERLA),8747,,
AP,KHAMMAM,BHOORAGAMPHAD (MANUGURU),8746,,
AP,KHAMMAM,YELLANDU,8745,,
AP,KHAMMAM,KOTHAGUDEM,8744,,
AP,KHAMMAM,BHADRACHALAM,8743,,
AP,KHAMMAM,KHAMMAM,8742,,
AP,KHAMMAM,SUDHIMALLA (TEKULAPALLI),8741,,
AP,KHAMMAM,ASWARAOPET,8740,,
AP,ADILABAD,JANNARAM (LUXITTIPET),8739,,
AP,ADILABAD,SIRPURKAGAZNAGAR,8738,,
AP,ADILABAD,CHINNOR,8737,,
AP,ADILABAD,MANCHERIAL,8736,,
AP,ADILABAD,BELLAMPALLI,8735,,
AP,ADILABAD,NIRMAL,8734,,
AP,ADILABAD,ASIFABAD,8733,,
AP,ADILABAD,ADILABAD,8732,,
AP,ADILABAD,UTNOR,8731,,
AP,ADILABAD,KHANAPUR (AP),8730,,
AP,KARIMNAGAR,MANTHANI,8729,,
AP,KARIMNAGAR,PEDDAPALLI,8728,,
AP,KARIMNAGAR,HUZURABAD,8727,,
AP,KARIMNAGAR,METPALLI,8725,,
AP,KARIMNAGAR,JAGTIAL,8724,,
AP,KARIMNAGAR,SIRCILLA,8723,,
AP,KARIMNAGAR,HUSNABAD,8721,,
AP,KARIMNAGAR,MAHADEVAPUR,8720,,
AP,WARANGAL,MAHABUBBAD,8719,,
AP,WARANGAL,NARASAMPET,8718,,
AP,WARANGAL,ETURNAGARAM,8717,,
AP,WARANGAL,JANGAON,8716,,
AP,WARANGAL,MULUG,8715,,
AP,WARANGAL,PARKAL,8713,,
AP,WARANGAL,WARDHANNAPET (GHANAPUR),8711,,
AP,WARANGAL,CHERIAL,8710,,
AP,NALGONDA,RAMANNAPET,8694,,
AP,NALGONDA,THUNGATURTHY,8693,,
AP,NALGONDA,NAMPALLE,8692,,
AP,NALGONDA,DEVARAKONDA,8691,,
AP,NALGONDA,MIRYALGUDA,8689,,
AP,NALGONDA,BHONGIR,8685,,
AP,NALGONDA,SURYAPET,8684,,
AP,NALGONDA,HAZURNAGAR,8683,,
AP,NALGONDA,NALGONDA,8682,,
AP,NALGONDA,CHANDOOR,8681,,
AP,NALGONDA,NIDAMANUR (HILLCOLONY),8680,,
AP,VIJAYAWADA,NANDIGAMA,8678,,
AP,VIJAYAWADA,KAIKALURU,8677,,
AP,VIJAYAWADA,VUYYURU,8676,,
